Date,Lat,Long,confirmed,cured,dead
2020/4/13,-11.2027,17.8739,19,4,2
2020/4/14,-11.2027,17.8739,19,5,2
2020/4/15,-11.2027,17.8739,19,5,2
2020/4/16,-11.2027,17.8739,19,5,2
2020/4/17,-11.2027,17.8739,19,5,2
2020/4/18,-11.2027,17.8739,24,6,2
2020/1/22,17.0608,-61.7964,0,0,0
2020/1/23,17.0608,-61.7964,0,0,0
2020/1/24,17.0608,-61.7964,0,0,0
2020/1/25,17.0608,-61.7964,0,0,0
2020/1/26,17.0608,-61.7964,0,0,0
2020/1/27,17.0608,-61.7964,0,0,0
2020/1/28,17.0608,-61.7964,0,0,0
2020/1/29,17.0608,-61.7964,0,0,0
2020/1/30,17.0608,-61.7964,0,0,0
2020/1/31,17.0608,-61.7964,0,0,0
2020/2/1,17.0608,-61.7964,0,0,0
2020/2/2,17.0608,-61.7964,0,0,0
2020/2/3,17.0608,-61.7964,0,0,0
2020/2/4,17.0608,-61.7964,0,0,0
2020/2/5,17.0608,-61.7964,0,0,0
2020/2/6,17.0608,-61.7964,0,0,0
2020/2/7,17.0608,-61.7964,0,0,0
2020/2/8,17.0608,-61.7964,0,0,0
2020/2/9,17.0608,-61.7964,0,0,0
2020/2/10,17.0608,-61.7964,0,0,0
2020/2/11,17.0608,-61.7964,0,0,0
2020/2/12,17.0608,-61.7964,0,0,0
2020/2/13,17.0608,-61.7964,0,0,0
2020/2/14,17.0608,-61.7964,0,0,0
2020/2/15,17.0608,-61.7964,0,0,0
2020/2/16,17.0608,-61.7964,0,0,0
2020/2/17,17.0608,-61.7964,0,0,0
2020/2/18,17.0608,-61.7964,0,0,0
2020/2/19,17.0608,-61.7964,0,0,0
2020/2/20,17.0608,-61.7964,0,0,0
2020/2/21,17.0608,-61.7964,0,0,0
2020/2/22,17.0608,-61.7964,0,0,0
2020/2/23,17.0608,-61.7964,0,0,0
2020/2/24,17.0608,-61.7964,0,0,0
2020/2/25,17.0608,-61.7964,0,0,0
2020/2/26,17.0608,-61.7964,0,0,0
2020/2/27,17.0608,-61.7964,0,0,0
2020/2/28,17.0608,-61.7964,0,0,0
2020/2/29,17.0608,-61.7964,0,0,0
2020/3/1,17.0608,-61.7964,0,0,0
2020/3/2,17.0608,-61.7964,0,0,0
2020/3/3,17.0608,-61.7964,0,0,0
2020/3/4,17.0608,-61.7964,0,0,0
2020/3/5,17.0608,-61.7964,0,0,0
2020/3/6,17.0608,-61.7964,0,0,0
2020/3/7,17.0608,-61.7964,0,0,0
2020/3/8,17.0608,-61.7964,0,0,0
2020/3/9,17.0608,-61.7964,0,0,0
2020/3/10,17.0608,-61.7964,0,0,0
2020/3/11,17.0608,-61.7964,0,0,0
2020/3/12,17.0608,-61.7964,0,0,0
2020/3/13,17.0608,-61.7964,1,0,0
2020/3/14,17.0608,-61.7964,1,0,0
2020/3/15,17.0608,-61.7964,1,0,0
2020/3/16,17.0608,-61.7964,1,0,0
2020/3/17,17.0608,-61.7964,1,0,0
2020/3/18,17.0608,-61.7964,1,0,0
2020/3/19,17.0608,-61.7964,1,0,0
2020/3/20,17.0608,-61.7964,1,0,0
2020/3/21,17.0608,-61.7964,1,0,0
2020/3/22,17.0608,-61.7964,1,0,0
2020/3/23,17.0608,-61.7964,3,0,0
2020/3/24,17.0608,-61.7964,3,0,0
2020/3/25,17.0608,-61.7964,3,0,0
2020/3/26,17.0608,-61.7964,7,0,0
2020/3/27,17.0608,-61.7964,7,0,0
2020/3/28,17.0608,-61.7964,7,0,0
2020/3/29,17.0608,-61.7964,7,0,0
2020/3/30,17.0608,-61.7964,7,0,0
2020/3/31,17.0608,-61.7964,7,0,0
2020/4/1,17.0608,-61.7964,7,0,0
2020/4/2,17.0608,-61.7964,9,0,0
2020/4/3,17.0608,-61.7964,15,0,0
2020/4/4,17.0608,-61.7964,15,0,0
2020/4/5,17.0608,-61.7964,15,0,0
2020/4/6,17.0608,-61.7964,15,0,0
2020/4/7,17.0608,-61.7964,19,0,1
2020/4/8,17.0608,-61.7964,19,0,2
2020/4/9,17.0608,-61.7964,19,0,2
2020/4/10,17.0608,-61.7964,19,0,2
2020/4/11,17.0608,-61.7964,21,0,2
2020/4/12,17.0608,-61.7964,21,0,2
2020/4/13,17.0608,-61.7964,23,0,2
2020/4/14,17.0608,-61.7964,23,3,2
2020/4/15,17.0608,-61.7964,23,3,2
2020/4/16,17.0608,-61.7964,23,3,3
2020/4/17,17.0608,-61.7964,23,3,3
2020/4/18,17.0608,-61.7964,23,3,3
2020/1/22,-38.4161,-63.6167,0,0,0
2020/1/23,-38.4161,-63.6167,0,0,0
2020/1/24,-38.4161,-63.6167,0,0,0
2020/1/25,-38.4161,-63.6167,0,0,0
2020/1/26,-38.4161,-63.6167,0,0,0
2020/1/27,-38.4161,-63.6167,0,0,0
2020/1/28,-38.4161,-63.6167,0,0,0
2020/1/29,-38.4161,-63.6167,0,0,0
2020/1/30,-38.4161,-63.6167,0,0,0
2020/1/31,-38.4161,-63.6167,0,0,0
2020/2/1,-38.4161,-63.6167,0,0,0
2020/2/2,-38.4161,-63.6167,0,0,0
2020/2/3,-38.4161,-63.6167,0,0,0
2020/2/4,-38.4161,-63.6167,0,0,0
2020/2/5,-38.4161,-63.6167,0,0,0
2020/2/6,-38.4161,-63.6167,0,0,0
2020/2/7,-38.4161,-63.6167,0,0,0
2020/2/8,-38.4161,-63.6167,0,0,0
2020/2/9,-38.4161,-63.6167,0,0,0
2020/2/10,-38.4161,-63.6167,0,0,0
2020/2/11,-38.4161,-63.6167,0,0,0
2020/2/12,-38.4161,-63.6167,0,0,0
2020/2/13,-38.4161,-63.6167,0,0,0
2020/2/14,-38.4161,-63.6167,0,0,0
2020/2/15,-38.4161,-63.6167,0,0,0
2020/2/16,-38.4161,-63.6167,0,0,0
2020/2/17,-38.4161,-63.6167,0,0,0
2020/2/18,-38.4161,-63.6167,0,0,0
2020/2/19,-38.4161,-63.6167,0,0,0
2020/2/20,-38.4161,-63.6167,0,0,0
2020/2/21,-38.4161,-63.6167,0,0,0
2020/2/22,-38.4161,-63.6167,0,0,0
2020/2/23,-38.4161,-63.6167,0,0,0
2020/2/24,-38.4161,-63.6167,0,0,0
2020/2/25,-38.4161,-63.6167,0,0,0
2020/2/26,-38.4161,-63.6167,0,0,0
2020/2/27,-38.4161,-63.6167,0,0,0
2020/2/28,-38.4161,-63.6167,0,0,0
2020/2/29,-38.4161,-63.6167,0,0,0
2020/3/1,-38.4161,-63.6167,0,0,0
2020/3/2,-38.4161,-63.6167,0,0,0
2020/3/3,-38.4161,-63.6167,1,0,0
2020/3/4,-38.4161,-63.6167,1,0,0
2020/3/5,-38.4161,-63.6167,1,0,0
2020/3/6,-38.4161,-63.6167,2,0,0
2020/3/7,-38.4161,-63.6167,8,0,0
2020/3/8,-38.4161,-63.6167,12,0,1
2020/3/9,-38.4161,-63.6167,12,0,1
2020/3/10,-38.4161,-63.6167,17,0,1
2020/3/11,-38.4161,-63.6167,19,0,1
2020/3/12,-38.4161,-63.6167,19,0,1
2020/3/13,-38.4161,-63.6167,31,0,2
2020/3/14,-38.4161,-63.6167,34,1,2
2020/3/15,-38.4161,-63.6167,45,1,2
2020/3/16,-38.4161,-63.6167,56,1,2
2020/3/17,-38.4161,-63.6167,68,3,2
2020/3/18,-38.4161,-63.6167,79,3,2
2020/3/19,-38.4161,-63.6167,97,3,3
2020/3/20,-38.4161,-63.6167,128,3,3
