date,confirmed,,dead,latitude,longitude
2020/1/24,1,0,0,27.85250092,113.1500015
2020/1/24,2,0,0,27.87269974,112.9120026
2020/1/24,3,0,0,26.90159988,112.5970001
2020/1/24,2,0,0,27.2493,111.4749985
2020/1/24,5,0,0,29.37129974,113.0979996
2020/1/24,3,0,0,29.03479958,111.6920013
2020/1/24,4,0,0,28.5977993,112.3359985
2020/1/24,1,0,0,25.80270004,113.026001
2020/1/24,4,0,0,26.21030045,111.612999
2020/1/24,5,0,0,27.54710007,109.9570007
2020/1/24,5,0,0,27.74180031,111.9929962
2020/1/24,14,0,0,23.1345005,113.2570038
2020/1/24,3,0,0,24.81010056,113.6039963
2020/1/24,20,2,0,22.55290031,114.1110001
2020/1/24,10,0,0,22.27249908,113.5719986
2020/1/24,1,0,0,23.36380005,116.6829987
2020/1/24,9,0,0,23.0345993,113.1159973
2020/1/24,2,0,0,21.19470024,110.4029999
2020/1/24,2,0,0,23.05809975,112.4520035
2020/1/24,7,0,0,23.09020042,114.3899994
2020/1/24,5,0,0,21.84519958,111.9589996
2020/1/24,2,0,0,23.72060013,113.0230026
2020/1/24,1,0,0,23.04649925,113.75
2020/1/24,2,0,0,22.52569962,113.3740006
2020/1/24,3,0,0,24.30990028,109.4049988
2020/1/24,6,0,0,25.28000069,110.2870026
2020/1/24,1,0,0,23.48679924,111.3089981
2020/1/24,6,0,0,21.47909927,109.1220017
2020/1/24,2,0,0,21.76880074,108.3570023
2020/1/24,1,0,0,22.63190079,110.1460037
2020/1/24,1,0,0,23.90439987,106.6119995
2020/1/24,3,0,0,24.69400024,108.0500031
2020/1/24,3,0,0,20.03359985,110.3399963
2020/1/24,5,0,0,18.23769951,109.5139999
2020/1/24,3,0,0,19.180501,109.733755
2020/1/24,5,0,0,18.80039978,110.4079971
2020/1/24,1,0,0,19.91790009,109.6869965
2020/1/24,3,0,0,29.59049988,106.4449997
2020/1/24,10,0,0,30.8132,108.3740006
2020/1/24,1,0,0,29.70280075,107.3909988
2020/1/24,2,0,0,29.48600006,106.4850006
2020/1/24,3,0,0,29.52610016,106.5059967
2020/1/24,2,0,0,29.816264,106.753799
2020/1/24,5,0,0,29.960491,107.146615
2020/1/24,2,0,0,29.59049988,106.4449997
2020/1/24,3,0,0,29.59049988,106.4449997
2020/1/24,2,0,0,29.59049988,106.4449997
2020/1/24,4,0,0,29.59049988,106.4449997
2020/1/24,1,0,0,29.59049988,106.4449997
